ID,latitude,longitude,name,mean_checkin_time,review,category
12322,29.94840045,-90.13122337,d4 Tabletop Gaming Cafe,15,My wife and I decided to check out this cafe as an anniversary date night and we were not disappointed! We are new to board games but the owner had a nice selection which you can rent or buy. We chose to rent Pandemic and got a roast beef poboy to munch on while we played. The owner and workers are all very friendly and helpful. We've been back twice since our date and rented two games. I have no complaints and will be back to play and eat in the near future. Check it out!,Restaurants
13274,29.9606433,-90.0680162,The Voodoo Lounge,7,"Come stop by voodoo! Bartender Stephen and the bossman"" are stand-up comedians and will surely make sure you have a good time! Ask Stephen for the ""drunkin Alan-Palmer"" mixed drink!""",Nightlife
10581,29.9437737,-90.0620502,Total Access Mobility Services,15,"From start to finish, this was a great experience.  Daniel was very easy to work with.  The scooter was delivered on time as promised.  It was in very good condition too.  I highly recommend this company.",Shopping
11954,29.95439239,-90.06874107,Dickie Brennan's Steakhouse,11,"This place is truly a class act steakhouse. When we first arrived for our reservation we were greeted by three friendly hostesses. The place was bustling and very busy. We were sat about 15 minutes later at a cozy booth. The service and food were phenomenal. The only reason why I'm giving 4 stars instead of 5 is because my boyfriend's steak came out incredibly overdone (he ordered it medium- pink all the way through and it came out well, without a touch of pink). I understand that things happen, food gets messed up, but this is a steakhouse and a $40 steak. My boyfriend did not complain, I'm sure the steak would have been fixed and replaced, but we did not want to wait for another one to be prepared. My steak (the petite filet with blue cheese) was cooked impeccably at medium rare. Our sides- the au gratin potatoes and asparagus were amazing as well as our dessert (triple chocolate cake). All in all, the experience, service, and food was worth the money. Oh! And there was a trio of men walking around the restaurant singing to patrons- it really brought you back in time and they had great voices. This really added an extra touch!",Restaurants
12713,29.95124802,-90.06675565,Jazz Gumbo,19,"This is your typical tourist souvenir store with anything and everything advertising New Orleans. It wasn't a bad shop, but it wasn't the best either. My niece got a NOLA T-shirt and a feather boa, my daughter got an alligator tooth (doubtful y'all) and a feather boa. The shop needed some serious work done on the ceiling and the floor.",Restaurants
12480,29.9544888,-90.0663571,Bacco Restaurant,17,"The food was certainly very very good. Had the muscles for a starter and then the famous lobster ravioli. All very tasty. The service was superb. And the atmosphere was nice. All in all good.   I can only give 3 stars because it just didn't leave much of an affect on me. Not very memorable. And the price to portion ratio was rather high. I know I might be a little on the cheap side. But I'm willing to pay if it deserves it.  So, was the food good, yes. Would I go back again, sure. But will it be somewhere that I'll have to go to, not really.",Restaurants
10073,29.9719594,-90.1185959,A.P.E. Inc,2,"This store, as indicated by its name, is catered to policemen, firemen and paramedics.  They sell a variety of uniforms, footwear, duty gear and law enforcement sundries. I believe they are one of the major suppliers of uniforms for the New Orleans Police Department and the Orleans Criminal Parish Sheriffs Office.  Located on Airline Highway, just west of the Palmetto overpass, this store is not in the most convenient location.  However, they have plenty of parking and an eager staff.  If you are looking for law enforcement related gear, then this is your place.",Shopping
10048,29.9570998,-90.0635747,Muse Inspired Fashion,1,Lots of cool jackets in here! Some t shirts are a bit over priced - but there are a lot of cool finds here,Shopping
11807,29.9557828,-90.0762827,Queen on Wheels,9,"Holy moley!  This truck is awesome. Huge portions!  I mean huge! For 13 bucks I got a meal for 4. Homemade BBQ sauce, and the guy working there is really nice. Gave me a sample of his meatloaf and it was better than my moms.",Restaurants
12099,29.94082306,-90.06815534,The Mill Nola,12,Restaurant was maybe at 20% occupancy and the kitchen shut down and refused customers because they couldn't keep up with 20% occupancy.,Restaurants
10867,29.9572745,-90.0650765,Kitchen Witch,22,"Kitchen Witch is every inch the cozy, charming unique little French Quarter treasure every other review has described it as. Even if you aren't a fan of cookbooks go in and flip through their collection of vintage comic books and records. Pet their two adorable dogs! Chat up the store's incredibly friendly proprietors, Debbie and Philipe. Their love for New Orleans in infectious and they will enthusiastically clue you in on all of their favorite local joints. Debbie recommended us a fantastic off the beaten track bar with mouthwatering po boys. She even lent me her bus schedule so I could get there!  Kitchen Witch is more than just a bookstore, it is a true treasure. Stop by and make sure to chat up the owners. It is truly an example of NOLA coziness and hospitality!",Shopping
13135,29.9787338,-90.1021884,Trep's,23,"This spot was great! Menu was creative, and the drinks were knockout. Our host, Sunshine, had to deal with some rude guests and did so with incredible kindness, so kudos to her and the rest of the staff for making up in compassion what others may lack.   We'll be back!",Restaurants
11963,29.971781,-90.098463,Fullblast Brunch,11,"From the menu and pictures I saw, I didn't have high expectations. My breakfast sandwich tasted like it was pan fried in old oil. It wasn't anything impressive to begin with but I couldn't finish it because of the nasty oil flavor. My friends did enjoy their food. Their plates did look good.  All the food came out at different times though, as did our drinks. Our server seemed uneasy and tried but I feel the place has a lot more problems than inexperienced servers. I would try it again but it won't be by my suggestion.",Restaurants
11029,29.9493849,-90.1276515,Thai Mint,0,"Great location and delicious food. Tried the spicy basil fried rice with beef at lunch. Descent sized portion, also comes with a spring roll for under $10! Food had flavor which is good, could have been spicier since it was called spicy basil fried rice"" but I guess the baseline is purposely bland to cater to the regular uptown crowd.  Next time will ask them to make the dish as they would for a thai person. Overall great food",Restaurants
11288,29.9558045,-90.0727245,Popeyes,3,"This was an excellent Popeyes location! The service was outstanding. The cashiers were very respectful and cheerful. There was a man who helped bag all my food to go in the Lobby"" of the restaurant and he was extremely kind.  If I lived closer to this establishment I would come often!!  They gave me all the dipping (""marinating"") sauces that I could ever desire and we're happy about it.   Seriously",Restaurants
13394,29.9695673,-90.0991934,Finn McCool's Irish Pub,16,"This place just can't wait to help you have a good time.  If you want to catch some Saints football energy without having to go to the game, this is the place to do it.   I will be back.",Nightlife
11947,29.92622767,-90.08297099,Chipotle Mexican Grill,11,"3/5 standard  so the fact that this stays open til 10 will make it a solid option for healthy"" fast-food along this strip",Restaurants
11748,29.9889787,-90.1324702,Bagels & Bytes,9,Fresh made Bagels are all great! Sun-dried tomato cream cheese and veggie cream cheese are my favs! They also deliver coke icees upon request on UberEATS,Restaurants
12233,29.9226351,-90.0911594,Cafe Abyssinia,14,"I really love the Ethiopian food here.  Ordered a lamb dish (forget the name) but it was the second one on the menu under 'Lamb'.  IT WAS DELICIOUS!  The flavor was all there, the peppers and onions mixed in and the injera is awesome.  It was sour, spongy (which is natural), and...kept on coming.  About $12.99 per dish for dinner.   I would have liked to try the tea or coffee too.  The location is kind of difficult to find.  It's right next to a tire shop and I nearly missed it when driving by.    My friends and I were having a great time.  We had thought we had everything paid for with appropriate tip, etc., but then the waitress came back and very rudely asked why we only gave her x amount of tip.  Had she came back and handled it in a different way, perhaps in a more concerned tone instead of one that felt like she was attacking us, then the experience would have been 10 times better.    Other than that confusion, the food was amazing and the service (up until that point) was also great.  Would definitely come back.",Restaurants
11517,30.0059452,-90.1172095,Chicken Sue's,6,"This is the best fried chicken I have had. The chicken is perfectly seasoned and cooked. Her chicken reheated the next day is better than most other chicken. There may be the personal/religious arguments about battered vs floured; here, it doesn't matter. Only vegetarians won't like this chicken.",Restaurants
11474,29.9450835,-90.1261013,Paella Nola,5,"I met the owner, Jacob, through a family member and he invited me to try his Paella at the Harrison Marketplace. I have to say I have never heard of it before but there are many cuisines and food dishes that I haven't heard of. The Paella tasted fresh and was well seasoned and flavorful. I am a big fan of it and hoping to get more in the future!",Restaurants
10572,29.92425879,-90.0855732,Sterling Silvia,15,"A quality shop ran by an experienced jewelry merchant/designer. The materials are quality. I own multiple pieces by Sterling Silvia and I have never been more pleased with a jewelry store in this and many ares. For example, the customer service is bar none. If you are a loyal customer and even if your not, the staff go out of their way to help you and make sure you get the best of what you want within your budget. Most of all I LOVE the quality designs, mostly the New Orleans oriented pieces. THE Go-To place for New Orleans and otherwise gift jewelry.",Shopping
10807,29.9514622,-90.0669999,Everything Shop,21,"I ran in here with the hopes that I would find a banana for breakfast. Huzzah! I did! I did find a banana (75Â¢) for breakfast! I also got a bottle of water ($2.25). I also wanted some zip lock bags, but holy cow!  They were expensive!!! And when I say expensive I mean more than $7!  The shop is really a throw together store. They have a little of everything-food, drinks, booze, and souvenirs. But who knows the last time they cleaned the floors. They did have some cute t-shirts, but I don't think I'll be back unless I'm going back for another banana.",Shopping
12813,29.9424525,-90.0658281,Meson 923,20,"This resturant is beautiful and the food is amazing! The house bread is so yummy, as well as the house sangria. The atmosphere is very swanky with well dressed good looking people at every table. My only complaint  is that we sat for 15- 20 mins without a wine list, menu, and water when we were seated.  For the price, I expect better service. I will try it again.",Restaurants
13446,29.9651581,-90.0514392,Cutter's,19,"This is a really nice bar with super friendly people.  We stopped in here after hanging out at Mimi's for a while. The bartender couldn't have been friendlier and the patrons were happy to chat. It's obviously a neighborhood bar full of regulars, but everyone was nice and inclusive.  The atmosphere is pretty dark and murky- it seems like a good place to go if you want to get lost for a few hours.",Nightlife
10857,29.9567154,-90.0990497,Bridge House Thrift Store,22,"As thrift stores go, this is more of a warehouse, one that you delve into, not knowing where anything is or where you're going.   It's in a warehouse, literally, next door to the main headquarters of the Bridge House charities, who also sell cars down the street and offer rehabilitation, food, and shelter for former inmates. A lot of the people who work at the store are either in their program or just coming out. They are all very nice and friendly and it's great to get to know people that are really trying to change their lives.   The prices are pretty good, but be sure to negotiate! You don't even need to haggle. Usually if you ask them the price, Jacques (I think the manager, or at least the guy who does all the pricing), will look at it, cut it to half the given price, and then say, But I'll give it to you for half that."" My friends got a couch for $100 marked $300",Shopping
12149,29.9681242,-90.0453847,Junction,13,Easily my favorite new neighborhood spot for food. The burgers are INCREDIBLE... the beer selection is daunting (although I haven't had alcohol in quite sone time). The staff are knowledgeable and friendly without being obsequious.,Restaurants
12242,29.953525,-90.0747497,Dirty South Sammich Co.,14,"3.5 Stars  Ordered the Nashville Hot Chicken, and it was not spicy enough for my taste. Not even close if you eat spicy food on the regular. I will mention that you can make it spicier for $1, but I also want to ask why they charge a dollar for that. Also, it was too sweet for my taste, and that may be why I felt the sandwich was not that spicy. On the plus side, the chicken still managed to be well-cooked (crispy and not dry on the inside) even though it looked like they fried it beforehand and then would heat it up in an oven. Fair price for $8.  The cheese tots were okay. Not particularly crispy or crunchy, but they are generous with the cheese.  Pretty popular place so there was about a 10 minute wait for my sandwich to come out after ordering. It is located in the Pythian Market though so you have the option of ordering a drink from the bar there during Happy Hour or heading on over to MonkeyBoard which is the rooftop bar in the hotel right next door.",Restaurants
10965,29.9495484,-90.0651354,Fuddruckers,0,"Good burger, reasonable price! Not crowded so service was within expected time for cooked-to-order food. Would go back!",Restaurants
12468,29.97854911,-90.10292608,The Station Coffee Shop & Bakery,16,"Friendly, personable service. Kept a quick flow despite a busy crowd. Love the light and welcoming space. Best dirty chai in town! We'll be back!",Restaurants
11350,29.96368708,-90.0576333,Dat Dog,4,"So it's a place that I've always wanted to try and I got a chance to try during for Mardi Gras. My stepdad I went he had the Guiness sausage hotdog and I had the crawfish Ã©touffÃ©e hotdog and we both shared bacon and cheese fries. Oh my gosh the hotdogs were simply amazing I mean, hotdogs are already good, but for them to mix it up in so many different varieties was the icing on the cake. And we're not talking any regular degular hotdogs these are the best of the best meats honey. It's clearly coming to be a New Orleans staple!",Restaurants
13151,29.9414229,-90.1286875,Redd's Uptilly Tavern,0,"First time being here.  It was a nice place but empty.  Had one old man sitting in there, then us two 40 somethings, then another old man.  That was it.   We came during happy hour, basically waiting for Snake and Jakes to open up so we came here to kill some time.    Beer selection was nice, Magic Hat, Fat Tire, Blue Moon, etc.  Prices were ok too.  Lotsa dark woods and a few TVs and a lonely but attractive bartender that was very nice.    Nothing bad to say about this place other than it was kinda dead.  It was very clean looking and nicely decorated, just kinda boring.",Nightlife
11032,29.930576,-90.075738,The Reservoir Cafe,0,"3.25/5 dark and intimate  reservoir cafe (#rescaf?) isn't quite my spot, but the folks working there have always been friendly the few times i've stopped by and the coffee has been nice and strong. i find the iced coffee still a little bitter compared to other cold brew offered at other places, but it does the trick. the space is eclectic and good for duo's or trio's, but i couldn't hang out with a bunch of folks given the layout. for some reason i also can't get into a work groove here, i guess my laptop just feels so out of place.  the food is definitely a plus. not many places offer breakfast tacos (yeah, yeah, it's just tacos that happen to have eggs in them, but they are still special!) and they are filling. the seasoned potatoes are great, and i only wish they swapped out the breakfast sausage for chorizo, then i'd really be all about it.",Restaurants
12159,29.9686422,-90.0679433,Li'l Dizzy's Cafe,13,"The catfish, chicken, gumbo and mac &a cheese are all to die for. We are the lunch buffet and everything was piping hot and fresh. This place was recommended by a local in the neighborhood we are staying in and it was so worth it!",Restaurants
11608,29.93894844,-90.06876003,Eleven 79,7,"I have eaten there many times, and my friends. This one of the best restraints in New Orleans for true Italian food.  It is where many locals go too.",Restaurants
13245,29.9179196,-90.0933734,Rock Bottom Lounge,6,"Rock Bottom is what it sounds like, and no, you don;t want to go there.  If you've never been you don;t want to go.  Trust me.  If you don't trust me, drive by and take a look during daylight hours.  You will see what I mean.",Nightlife
10259,29.952181,-90.180921,Dollar Tree,7,One stop shop for balloons and knick knacks for parties. Just don't go being a dumbass and ask how much everything is.,Shopping
13238,29.9477478,-90.1304092,Ale on Oak,6,Large and busy.  Seems like a college place.  Menu looked good.  All i got was the debris fries.  nothing special.  if i was in the area i would go back and try more food.  pretty cheap drinks.  pitches.  college folk.,Nightlife
12542,29.9474216,-90.1133301,Petite Rouge Cafe ,17,"So happy to see this new coffee shop/cafe near Tulane and Loyola. It's roomy and airy interior reflects the cheerful nature of its owners and employees. It's a great place to write or study or socialize. Very people friendly with games and toys for children, lollipops, and dog bowl. Students, locals, and families can enjoy. They have bagels from Humble Bagels which can be made into sandwiches, wraps, and pastry selection. The tartest lemonade will wake you up if you need a hot weather refresher. I really hope to see this place around for a long time. It would be nice to have a place to hang out when I visit my kids.",Restaurants
13172,29.939882,-90.067247,Bryant Park Nola,2,Delicious food and drinks. The staff went above and beyond to make our experience enjoyable. Highly impressed with their protective measures. Super clean and felt comfortable dining in with them!,Nightlife
13095,29.9342359,-90.0723043,Mojo Coffee House,23,"The coffee is only okay and the staff is rude! I'm not sure if it was meant to be funny or what but it wasn't. It was just annoying.  I suppose this place would be worth it if you live right by but it's definitely not worth going out of your way for. Actually, we are going to go out of our way to avoid it.",Restaurants
12309,29.945914,-90.0725719,Bonci Pizzeria,15,"This is 5 star pizza spot. For sure. The pizza I had was excellent. Soprasetta, ricotta, and potato was amazing. I'd pay double for the meatball.   My only issue is the scissors. Each pizza should get its own scissors and can we please PLEASE get decent kitchen shears? The yellow handled school scissors gotta go!!",Restaurants
10776,29.959554,-90.063257,Papier Plume,20,"So great. The shop is adorable. One of the most unique shops in the French Quarter. Great place to just look around if you're into calligraphy and hand made notebooks. They have a pen straight out of a nautilous movie that that is so fancy it comes with its own underwater"" display. They have journals that are covered in hand cut leather and filled with hand cut chalk art paper. The most extraordinary thing about this shop however is the staff. They are  absolutely first rate. Everyone is incredibly knowledgeable",Shopping
12730,29.94213825,-90.06687015,Nola Grocery,19,"A decent sandwich at a decent price, but not outstanding.  I had a hot roast beef po' boy. Plenty of roll, but not so much meat.  And the meat was chopped and not sliced.",Restaurants
11891,29.969473,-90.049637,McDonald's,10,After waiting 10mins in line for a caramel frappe I was told the machine was down.Nothing  unusual!!! Didn't deserve the one star !,Restaurants
13478,29.9409815,-90.0648338,Cosmic Convergence Festival,21,"A cold night. Perfect for dancing. I was outside for most of the evening but the music poured freely (and so did the beer from the crafty little Bar2D2!) Quintron and Miss Pussycat were a perfect edition to this festival. I've only seen them at the Spellcaster Lodge and it was a real treat to have a little elbow room! I've never been to an event like this in New Orleans. Although not an active trekkie, I feel like I was raised on USS Enterprise. No Bloody A, B, C or D. Seriously. My parents force fed me. It was lovely to meet the Krew of Chebaccus and I can't wait to see them again for Carnival!",Nightlife
13192,29.9181381,-90.0926748,NOLA Distillery,3,Was it worth the hike from the streetcar? Yes. Lots of choices to enjoy and friendly people. My head may hurt in the morning but it was all worth it. Hoping they show up in Ohio soon.,Nightlife
11322,29.960059,-90.059223,World Famous N'awlins Cafe & Spice Emporium,3,terrible food and the manager was shockingly rude when I tried to return my food. I had the frogs legs and they were rubbery and tasted awful. I was disgusted by her behavior and she should be ashamed of herself. I have never been treated more horribly by someone.,Restaurants
12592,29.9711981,-90.0677061,Cajun Seafood,18,"Horrible experience,  went off the 4* reviews, not even close. We had a man digging in the trash next to us, coughing and talking to himself. Made everything uncomfortable and the food un-enjoyable. Got up n just left.",Restaurants
11916,30.0207669,-90.0768371,The Füd Bar,10,"Ate here on Wednesday night. Great people, and delicious food. If you want fast, fresh home cooked meals for the family, stop by, you can eat in or carry out. I had pot roast, pablano pepper potatoes, Mac and cheese with  bacon and broccoli. Delicious,  will be back this week!!!!!",Restaurants
11545,29.9450884,-90.0690928,Pêche,6,"Peche was better than I expected. The crawfish croquettes and the drum entree were absolutely delicious. And, our server, Heather, was fantastic!!",Restaurants
11822,29.923227,-90.0878542,The Daily Beet,9,"From a stand in St Roch to a corner shop downtown, The Daily Beet has now expanded Uptown, with a sunny new location and a slightly different menu. It's a sort of counterculture in New Orleans in that it offers healthy food that might be best described as flexitarian""; not 100% vegetarian but you can pretty much certainly eat there regardless of your diet. They don't have anything fried",Restaurants
11421,29.963459,-90.057854,Willie's Chicken Shack,4,"The fried chicken wings where so good man oh man I was in love I ate there 4 times during my trip. The food was so good. Everything was fresh made to order, the red beans and rice where to die for. The biscuit with honey oh boy was it good, especially when it was hot and fresh the honey butter was sweet and sticky. If I could I would be there right now.",Restaurants
